part_number;marca;modelos;operacion;detalle
7C3Z9601A;FORD;F-150;Filtro de Aire Motor;F-150 FHEV Platinium 4x4 (2023) | F-150 Lariat Sport (2023) | F-150 Lariat Sport Luxury (2023) | F-150 Platinium 4x4 (2023) | F-150 Raptor (2023) | F-150 XLT 4x2 (2023)
9X2Z6268A;FORD;Ranger;Correa de distribución;Ranger Limited + Auto (2024) | Ranger XLT 4x4 Auto (2024)
AA5Z6714A;FORD;F-150, Transit;Filtro de Aceite;F-150 FHEV Platinium 4x4 (2023) | F-150 Platinium 4x4 (2023) | F-150 Raptor (2023) | F-150 XLT 4x2 (2023) | F-150 XLT 4x4 (2023) | F-150 XLT 4x4 5.0 (2023)
BK2Z19N619A;FORD;Transit;Filtro de Cabina o Antipolen;Transit V362 Custom Van VMT6 4x2 FWD (2023) | Transit Chasis BEV - 4x2 RWD (2024) | Transit VAN BEV - 4x2 RWD (2024) | Transit V362 Custom Van VMT6 4x2 FWD (2024) | Transit V363 Bus 10R80 4x2 RWD (2024) | Transit V363 Bus MT82 4x2 RWD (2024)
BK3Z9601B;FORD;Transit;Filtro de Aire Motor;Transit V363 Bus 10R80 4x2 RWD (2024) | Transit V363 Bus MT82 4x2 RWD (2024) | Transit V363 Chasis VMT6 4x2 RWD (2024) | Transit V363 Van 10R80 4x2 RWD (2024) | Transit V363 Van MT82 4x2 RWD (2024) | Transit V710 Custom Van 8F57 4x2 FWD (2024)
BL3Z8620C;FORD;F-150;Correa de Accesorios;F-150 XLT 4x2 (2023) | F-150 XLT 4x4 (2023) | F-150 XLT 4x2 (2024) | F-150 XLT 4x4 (2024)
BL3Z8620G;FORD;F-150;Correa de Accesorios A/C;F-150 Lariat Sport (2023) | F-150 Lariat Sport Luxury (2023) | F-150 XLT 4x4 5.0 (2023) | F-150 Lariat Sport (2024) | F-150 Lariat Sport Luxury (2024) | F-150 XLT 4x4 5.0 (2024)
BR3Z8620S;FORD;F-150;Correa de Accesorios A/C;F-150 XLT 4x2 (2023) | F-150 XLT 4x4 (2023) | F-150 XLT 4x2 (2024) | F-150 XLT 4x4 (2024)
CYFS12YRT3;FORD;F-150, Ranger;Bujías de Encendido;F-150 FHEV Platinium 4x4 (2023) | F-150 Platinium 4x4 (2023) | F-150 Raptor (2023) | Ranger Raptor Auto (2023) | F-150 FHEV Platinium 4x4 (2024) | F-150 Platinium 4x4 (2024)
GK2Z9365A;FORD;Transit;Filtro de Combustible;Transit V362 Custom Van VMT6 4x2 FWD (2023) | Transit V362 Custom Van VMT6 4x2 FWD (2024) | Transit V363 Bus 10R80 4x2 RWD (2024) | Transit V363 Bus MT82 4x2 RWD (2024) | Transit V363 Chasis VMT6 4x2 RWD (2024) | Transit V363 Van 10R80 4x2 RWD (2024)
GK2Z9601B;FORD;Transit;Filtro de Aire Motor;Transit V362 Custom Van VMT6 4x2 FWD (2023) | Transit V362 Custom Van VMT6 4x2 FWD (2024)
GK3Z8620B;FORD;Transit;Correa de Accesorios - Bomba Ref.;Transit V363 Bus 10R80 4x2 RWD (2024) | Transit V363 Bus MT82 4x2 RWD (2024) | Transit V363 Chasis VMT6 4x2 RWD (2024) | Transit V363 Van 10R80 4x2 RWD (2024) | Transit V363 Van MT82 4x2 RWD (2024) | Transit V710 Custom Van 8F57 4x2 FWD (2024)
HG9Z6268B;FORD;Ranger, Transit;Correa de distribución;Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024) | Ranger XLS 4x4 Man (2024) | Ranger XLT 4x2 Auto (2024) | Ranger XLT 4x4 Bi- Turbo (2024)
HG9Z8620B;FORD;Transit;Correa de Accesorios;Transit V362 Custom Van VMT6 4x2 FWD (2023) | Transit V362 Custom Van VMT6 4x2 FWD (2024) | Transit V363 Bus 10R80 4x2 RWD (2024) | Transit V363 Bus MT82 4x2 RWD (2024) | Transit V363 Chasis VMT6 4x2 RWD (2024) | Transit V363 Van 10R80 4x2 RWD (2024)
HL3Z8620A;FORD;F-150;Correa de Accesorios A/C;F-150 FHEV Platinium 4x4 (2023) | F-150 FHEV Platinium 4x4 (2024)
HU5Z9155A;FORD;Ranger;Filtro de Combustible;Ranger Raptor Auto (2023) | Ranger Raptor Auto (2024)
JB3Z8620B;FORD;Ranger;Correa de Accesorios - Bomba Ref.;Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024) | Ranger XLS 4x4 Man (2024) | Ranger XLT 4x2 Auto (2024) | Ranger XLT 4x4 Bi- Turbo (2024)
JL3Z6731A;FORD;Ranger;Filtro de Aceite;Ranger Limited + Auto (2024) | Ranger XLT 4x4 Auto (2024)
JL3Z8620B;FORD;F-150;Bujías de Encendido;F-150 Lariat Sport (2023) | F-150 Lariat Sport Luxury (2023) | F-150 XLT 4x4 5.0 (2023) | F-150 Lariat Sport (2024) | F-150 Lariat Sport Luxury (2024) | F-150 XLT 4x4 5.0 (2024)
JU2Z6731A;FORD;Ranger;Filtro de Aceite;Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024) | Ranger XLS 4x4 Man (2024) | Ranger XLT 4x2 Auto (2024) | Ranger XLT 4x4 Bi- Turbo (2024)
KK2Z8620C;FORD;Transit;Correa de Accesorios - Bomba Ref.;Transit V362 Custom Van VMT6 4x2 FWD (2023) | Transit V362 Custom Van VMT6 4x2 FWD (2024)
KL3Z19N619AA;FORD;F-150;Filtro de Cabina o Antipolen;F-150 FHEV Platinium 4x4 (2023) | F-150 Lariat Sport (2023) | F-150 Lariat Sport Luxury (2023) | F-150 Platinium 4x4 (2023) | F-150 Raptor (2023) | F-150 XLT 4x2 (2023)
KU2Z6731A;FORD;Ranger;Filtro de Aceite;Ranger Raptor Auto (2023) | Ranger Raptor Auto (2024)
KV6Z9155D;FORD;Ranger;Filtro de Combustible;Ranger Limited + Auto (2024) | Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024) | Ranger XLS 4x4 Man (2024) | Ranger XLT 4x2 Auto (2024)
MB3Z19N619C;FORD;Ranger;Filtro de Cabina o Antipolen;Ranger Raptor Auto (2023) | Ranger Limited + Auto (2024) | Ranger Raptor Auto (2024) | Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024)
MB3Z8620A;FORD;Ranger;Correa de Accesorios;Ranger Raptor Auto (2023) | Ranger Raptor Auto (2024)
MB3Z8620C;FORD;Ranger;Correa de Accesorios;Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024) | Ranger XLS 4x4 Man (2024) | Ranger XLT 4x2 Auto (2024) | Ranger XLT 4x4 Bi- Turbo (2024)
MB3Z8620E;FORD;Ranger;Correa de Accesorios;Ranger Limited + Auto (2024) | Ranger XLT 4x4 Auto (2024)
MB3Z9601C;FORD;Ranger;Filtro de Aire Motor;Ranger Limited + Auto (2024) | Ranger XL 4x2 Man (2024) | Ranger XL 4x4 Man (2024) | Ranger XLS 4x2 Man (2024) | Ranger XLS 4x4 Man (2024) | Ranger XLT 4x2 Auto (2024)
